Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
09:26:22,1860566.9,100860,16109.6,7214.3,920.5,260.2
09:27:42,1537714.9,82659.2,13548.1,5953.5,600.4,270.2
09:29:02,1626057.4,86141.3,14888.9,6103.6,370.2,60
09:30:22,1690856,92224.9,14818.8,6623.9,470.3,110.1
09:31:42,1412080.1,74904.6,12197.3,5403.2,460.3,120.1
09:33:02,1624186.3,87802.2,14498.6,6563.9,510.3,70
09:34:22,1474067,78937,13137.8,5933.5,420.3,20
09:35:42,1583422,84840.5,13728.2,6333.8,340.2,100.1
09:37:02,1585193.1,86461.4,14478.6,6463.8,230.1,60
09:38:22,1464891.5,78496.7,13167.8,5963.5,260.2,20
09:39:42,1631320.5,88752.8,15469.2,7374.4,360.2,40
09:41:02,1429330.4,76825.7,13778.2,5953.5,200.1,30
09:42:22,1413020.6,76605.6,14438.6,7134.2,310.2,40
09:43:42,1489866.4,81698.6,15359.1,8194.9,170.1,10
09:45:02,1580040,89083,17780.6,9285.5,520.3,20
09:46:22,1421545.8,78526.7,16619.9,9525.7,340.2,10
09:47:42,1416332.6,80988.2,18270.9,10636.3,400.2,80
09:49:02,1462560.1,84980.6,19301.5,11146.6,440.3,10
09:50:22,1403465,80537.9,19071.3,11977.1,310.2,30
09:51:42,1410729.3,81488.5,17910.7,12177.2,690.4,40
09:53:02,1490496.8,86941.7,21542.8,14438.6,630.4,10
09:54:22,1458807.9,85891.1,21552.8,14468.6,710.4,30
09:55:42,1567332.5,94346.1,24204.4,15989.5,870.5,30
09:57:02,1567452.5,96087.2,25825.4,18481,780.5,50
09:58:22,1479110,91224.3,25385.1,17320.3,960.6,30
09:59:42,1495609.8,95546.8,24644.7,18541,1140.7,80
10:01:02,1464081,91824.6,24464.6,18821.2,1120.7,80
10:02:22,1435424,87772.2,23373.9,17480.4,900.5,40
10:03:42,1384003.4,82018.8,22323.3,15679.3,640.4,30
10:05:02,1462710.3,90643.9,22303.3,16599.9,660.4,40
10:06:22,1429340.4,86841.7,22413.3,15629.3,860.5,30
10:07:42,1397941.6,84090,21953.1,15149,750.4,40
10:09:02,1408508,84310.2,21963.1,14938.9,700.4,30
10:10:22,1370835.5,80838.1,21672.9,14988.9,910.5,40
10:11:42,1293379.5,75655,19741.7,13227.9,890.5,50
10:13:02,1343119.1,76915.8,19501.6,13608.1,1070.6,30
10:14:22,1357867.9,77896.3,19091.4,13207.9,990.6,60
10:15:42,1329461,74004,17410.4,11827,680.4,60
10:17:02,1348632.4,75745.1,17990.7,11646.9,670.4,70
10:18:22,1232803.4,65509,14908.9,9355.6,520.3,10
10:19:42,1231232.5,65659.1,15409.2,9105.4,440.3,40
10:21:02,1159009.5,61566.6,14138.4,8665.2,270.2,0
10:22:22,1203225.9,62927.4,15339.1,8405,320.2,20
10:23:42,1183163.9,62417.1,14078.4,7874.7,190.1,30
10:25:02,1168865.4,61896.8,14728.8,8134.8,240.1,10
10:26:22,1151965.4,60936.3,14078.4,8405,440.3,40
10:27:42,1124949.3,56783.8,13167.8,7544.5,400.2,40
10:29:02,1050785.1,54532.4,12347.3,7604.5,490.3,10
10:30:22,1101465.3,57003.9,12477.4,7424.4,260.2,30
10:31:42,1081973.8,55242.9,12287.3,7634.5,260.2,0
10:33:02,1154096.6,59385.3,13578.1,7224.3,400.2,20
10:34:22,1067635.1,54902.7,11777,7074.2,200.1,40
10:35:42,1074639.4,54352.3,11536.9,6724,360.2,20
10:37:02,1105337.6,55683.1,12387.4,7174.3,380.2,20
10:38:22,1165723.5,57084,12747.6,6934.1,310.2,10
10:39:42,1181883.1,59205.2,11977.1,7344.4,360.2,30
10:41:02,1206127.6,58885,12237.3,6834.1,330.2,10
10:42:22,1170926.6,56803.8,11646.9,6043.6,260.2,10
10:43:42,1101875.5,51780.8,10596.3,5613.3,180.1,60
10:45:02,1202965.6,58955.1,11096.6,5163.1,380.2,40
10:46:22,1157288.5,54702.5,10616.3,5233.1,290.2,0
